violator_id,violator_name,citation_no,case_no,standard_no,standard_link,proposed_penalty,amount_paid
3901432,Krueger Brothers Gravel & Dirt,8750964,000361866,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-2014-title30-vol1/pdf/CFR-2014-title30-vol1-sec56-18010.pdf,100.00,100.00
3901432,Krueger Brothers Gravel & Dirt,6426439,000260865,56.4201(a)(2),http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4201.pdf,100.00,100.00
3901432,Krueger Brothers Gravel & Dirt,6426438,000260865,56.4101,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-4101.pdf,100.00,100.00
3901432,Krueger Brothers Gravel & Dirt,6588189,000260865,56.14200,http://www.gpo.gov/fdsys/pkg/CFR-2011-title30-vol1/pdf/CFR-2011-title30-vol1-sec56-14200.pdf,100.00,100.00
3901432,Krueger Brothers Gravel & Dirt,6588210,000238554,50.30(a),http://www.gpo.gov/fdsys/pkg/CFR-2010-title30-vol1/pdf/CFR-2010-title30-vol1-sec50-30.pdf,100.00,100.00
3901432,Krueger Brothers Gravel & Dirt,6328074,000188398,56.11003,http://www.gpo.gov/fdsys/pkg/CFR-2009-title30-vol1/pdf/CFR-2009-title30-vol1-sec56-11003.pdf,100.00,100.00
3901432,Krueger Brothers Gravel & Dirt,7916126,390143205501,56.14100(d),http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-14100.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916115,390143205501,41.20,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec41-20.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916122,390143205501,56.20008,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-20008.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916124,390143205501,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-14132.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916118,390143205501,56.12028,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-12028.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916123,390143205501,56.14132(a),http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-14132.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916125,390143205501,56.4200,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-4200.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916120,390143205501,56.15001,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-15001.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916116,390143205501,50.30,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec50-30.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916119,390143205502,56.18010,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-18010.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916117,390143205501,56.1000,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-1000.pdf,55.00,55.00
3901432,Krueger Brothers Gravel & Dirt,7916121,390143205501,56.18002,http://www.gpo.gov/fdsys/pkg/CFR-1998-title30-vol1/pdf/CFR-1998-title30-vol1-sec56-18002.pdf,55.00,55.00
